train_or_test,model_id,algorithm,run,file_id,project_name,G,precision,fn,accuracy,fp,balance,fpr,f1,fnr,MCC,tpr,tnr,tn,tp
train,model13,ibea,3,Eclipse_all,Eclipse,0.7001937424603434,0.3998589562764457,3935.0,0.8794533152301979,6808.0,0.48586727575288,0.08441622854875508,0.45783497350492053,0.46452602998465353,0.3969110263097066,0.5354739700153465,0.9155837714512449,73840.0,4536.0
test,model14,ibea,3,Eclipse_all,Eclipse,0.4466127542578161,0.1792975180109883,413.0,0.323411971892382,38390.0,0.629327609932412,0.790714918333299,0.3018154992173021,0.04693181818181818,0.1508917908568734,0.9530681818181819,0.20928508166670098,10161.0,8387.0
train,model14,ibea,3,Eclipse_all,Eclipse,0.6538921099993547,0.15271679745703784,784.0,0.5126516231106722,42648.0,0.5180996189441165,0.528816585656185,0.2614359079005544,0.09255105654586235,0.22398582360794086,0.9074489434541376,0.4711834143438151,38000.0,7687.0
test,model15,ibea,3,Eclipse_all,Eclipse,0.30377326988078673,0.16452739908100103,135.0,0.2304231835539049,44001.0,0.6732064854524903,0.90628411361249,0.28194448963654706,0.01534090909090909,0.10313305648267412,0.9846590909090909,0.09371588638751004,4550.0,8665.0
train,model15,ibea,3,Eclipse_all,Eclipse,0.5522602923156525,0.12882348287048026,330.0,0.37853880766166587,55054.0,0.5847034411631229,0.6826455708759052,0.22719281109591719,0.038956439617518594,0.17977854899378842,0.9610435603824814,0.31735442912409484,25594.0,8141.0
test,model16,ibea,3,Eclipse_all,Eclipse,0.5899569911411985,0.20975947580108142,925.0,0.4665655350386218,29668.0,0.5567959607920414,0.6110687730427797,0.33985715210495654,0.10511363636363637,0.21512700662782228,0.8948863636363636,0.38893122695722027,18883.0,7875.0
train,model16,ibea,3,Eclipse_all,Eclipse,0.723137252074807,0.19672131147540983,1763.0,0.6728643723560632,27391.0,0.44627963782494423,0.33963644479714317,0.3151515151515152,0.20812182741116753,0.2729000774610417,0.7918781725888325,0.6603635552028568,53257.0,6708.0
test,model17,ibea,3,Eclipse_all,Eclipse,0.4255266967662183,0.17651732140243775,357.0,0.3069868005788914,39388.0,0.6372928330704171,0.8112706226442298,0.2981759107202769,0.040568181818181816,0.14351645389786616,0.9594318181818182,0.18872937735577022,9163.0,8443.0
train,model17,ibea,3,Eclipse_all,Eclipse,0.6505048141444086,0.15158188646597323,762.0,0.5072880081688529,43148.0,0.5208290439108599,0.5350163674238667,0.2598772923408846,0.08995396057136111,0.22221356614598947,0.9100460394286389,0.46498363257613334,37500.0,7709.0
test,model18,ibea,3,Eclipse_all,Eclipse,0.730899534843083,0.365553925165077,2821.0,0.769873236735192,10377.0,0.43891180701497295,0.21373401165784434,0.4753537923358244,0.3205681818181818,0.3717411360857536,0.6794318181818182,0.7862659883421557,38174.0,5979.0
train,model18,ibea,3,Eclipse_all,Eclipse,0.7085459811474812,0.3739785799285998,3757.0,0.8692983538863767,7891.0,0.4765385060431317,0.09784495585755382,0.4473334598595559,0.44351316255459805,0.3860077052671197,0.556486837445402,0.9021550441424462,72757.0,4714.0
test,model19,ibea,3,Eclipse_all,Eclipse,0.5923305164100825,0.2104938932933362,941.0,0.46961692036756114,29477.0,0.5551934578787205,0.607134765504315,0.34068839951447893,0.10693181818181818,0.21620396180157203,0.8930681818181818,0.39286523449568495,19074.0,7859.0
train,model19,ibea,3,Eclipse_all,Eclipse,0.7260352187762555,0.20081013270457362,1828.0,0.6828285775199452,26438.0,0.4429845861615276,0.32781966074794167,0.3197439353099731,0.21579506551764846,0.2770544538568669,0.7842049344823515,0.6721803392520583,54210.0,6643.0
test,model2,ibea,3,Eclipse_all,Eclipse,0.5778175412158804,0.2063878248265866,826.0,0.45095987864204634,30662.0,0.5650129564290869,0.6315420897612819,0.33620035416139643,0.09386363636363636,0.21107699757819584,0.9061363636363636,0.36845791023871804,17889.0,7974.0
train,model2,ibea,3,Eclipse_all,Eclipse,0.7196018497716857,0.19175652467693347,1660.0,0.6592421369180533,28708.0,0.4507448212298385,0.35596666997321696,0.3096612866560582,0.1959626962578208,0.26840948779297735,0.8040373037421792,0.6440333300267831,51940.0,6811.0
